n,repeat,algo,time_ms,gap,value
10,0,greedy,0.013700000181415817,0.0,153
10,0,dp,0.12249999963387381,0.0,153
10,0,bnb,0.3351999998812971,0.0,153
10,1,greedy,0.004999999873689376,0.0,153
10,1,dp,0.10470000006534974,0.0,153
10,1,bnb,0.3388000000086322,0.0,153
10,2,greedy,0.004300000000512227,0.0,153
10,2,dp,0.1021999996737577,0.0,153
10,2,bnb,0.3237999999328167,0.0,153
10,3,greedy,0.004399999852466863,0.0,153
10,3,dp,0.10530000008657225,0.0,153
10,3,bnb,0.330600000324921,0.0,153
10,4,greedy,0.005500000042957254,0.0,153
10,4,dp,0.10310000016033882,0.0,153
10,4,bnb,0.32659999988027266,0.0,153
20,0,greedy,0.008400000297115184,0.011428571428571429,173
20,0,dp,0.20870000025752233,0.0,175
20,0,bnb,3.596100000322622,0.0,175
20,1,greedy,0.01669999983278103,0.011428571428571429,173
20,1,dp,0.3307000001768756,0.0,175
20,1,bnb,2.4205999998230254,0.0,175
20,2,greedy,0.007999999979801942,0.011428571428571429,173
20,2,dp,0.1982000003408757,0.0,175
20,2,bnb,3.030800000033196,0.0,175
20,3,greedy,0.018900000213761814,0.011428571428571429,173
20,3,dp,0.3318999997645733,0.0,175
20,3,bnb,2.5264000000788656,0.0,175
20,4,greedy,0.010100000054080738,0.011428571428571429,173
20,4,dp,0.20050000011906377,0.0,175
20,4,bnb,3.3075000001190347,0.0,175
30,0,greedy,0.015900000107649248,0.005208333333333333,191
30,0,dp,0.3034999999727006,0.0,192
30,0,bnb,6.704100000206381,0.0,192
30,1,greedy,0.01430000020263833,0.005208333333333333,191
30,1,dp,0.2976999999191321,0.0,192
30,1,bnb,6.425999999919441,0.0,192
30,2,greedy,0.013899999885325087,0.005208333333333333,191
30,2,dp,0.2944999996543629,0.0,192
30,2,bnb,6.077000000004773,0.0,192
30,3,greedy,0.009299999874201603,0.005208333333333333,191
30,3,dp,0.2882999997382285,0.0,192
30,3,bnb,6.915999999819178,0.0,192
30,4,greedy,0.012699999842880061,0.005208333333333333,191
30,4,dp,0.2951999999822874,0.0,192
30,4,bnb,6.53630000033445,0.0,192
