algo,n,time_ms_mean,time_ms_sd,gap_mean,value_mean
bnb,5,0.044329999946057796,0.021749635611193478,0.0,151.0
bnb,10,0.18783500127028674,0.0862571496345511,0.0,220.0
bnb,15,0.6118099874584004,0.2071921694326719,0.0,266.0
dp,5,0.08285999938379973,0.021522197727505788,0.0,151.0
dp,10,0.11881000245921314,0.05869998030307106,0.0,220.0
dp,15,0.16377500141970813,0.048995870634497986,0.0,266.0
greedy,5,0.004329995135776699,0.0023980550951992383,0.0,151.0
greedy,10,0.004579999949783087,0.002649841462952357,0.0,220.0
greedy,15,0.0061249942518770695,0.002578016309357556,0.022556390977443608,260.0
